date,arrivals
2010-01,50757
2010-02,57300
2010-03,52352
2010-04,38300
2010-05,35213
2010-06,44730
2010-07,63339
2010-08,55898
2010-09,47339
2010-10,52370
2010-11,72251
2010-12,84627
2011-01,74197
2011-02,65797
2011-03,75130
2011-04,63835
2011-05,48943
2011-06,53636
2011-07,83786
2011-08,72463
2011-09,60219
2011-10,69563
2011-11,90889
2011-12,97517
2012-01,85874
2012-02,83549
2012-03,91102
2012-04,69591
2012-05,57506
2012-06,65245
2012-07,90338
2012-08,79456
2012-09,71111
2012-10,80379
2012-11,109202
2012-12,122252
2013-01,110543
2013-02,113968
2013-03,113208
2013-04,80737
2013-05,74838
2013-06,90279
2013-07,107016
2013-08,123269
2013-09,90339
2013-10,107058
2013-11,109420
2013-12,153918
2014-01,146575
2014-02,141878
2014-03,133048
2014-04,112631
2014-05,90046
2014-06,103175
2014-07,133971
2014-08,140319
2014-09,105535
2014-10,121576
2014-11,119727
2014-12,178672
2015-01,156246
2015-02,165541
2015-03,157051
2015-04,122217
2015-05,113529
2015-06,115467
2015-07,175804
2015-08,166610
2015-09,143374
2015-10,132280
2015-11,144147
2015-12,206114
2016-01,194280
2016-02,197697
2016-03,192841
2016-04,136367
2016-05,125044
2016-06,118038
2016-07,209351
2016-08,186288
2016-09,148499
2016-10,150419
2016-11,167217
2016-12,224791
2017-01,219360
2017-02,197517
2017-03,188076
2017-04,160249
2017-05,121891
2017-06,123351
2017-07,205482
2017-08,190928
2017-09,145077
2017-10,152429
2017-11,167511
2017-12,244536
2018-01,238924
2018-02,235618
2018-03,233382
2018-04,180429
2018-05,129466
2018-06,146828
2018-07,217829
2018-08,200359
2018-09,149087
2018-10,153123
2018-11,195582
2018-12,253169
2019-01,244239
2019-02,252033
2019-03,244328
2019-04,166975
2019-05,37802
2019-06,63072
2019-07,115701
2019-08,143587
2019-09,108575
2019-10,118743
2019-11,176984
2019-12,241663
2020-01,228434
2020-02,207507
2020-03,71370
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,1682
2021-02,3366
2021-03,4581
2021-04,4168
2021-05,1497
2021-06,1614
2021-07,2429
2021-08,5040
2021-09,13547
2021-10,22771
2021-11,44294
2021-12,89506
2022-01,82327
2022-02,96507
2022-03,106500
2022-04,62980
2022-05,30207
2022-06,32856
2022-07,47293
2022-08,37760
2022-09,29802
2022-10,42026
2022-11,59759
2022-12,91961
2023-01,102545
2023-02,107639
2023-03,125495
2023-04,105498
2023-05,83309
2023-06,100388
2023-07,143039
2023-08,136405
2023-09,111938
2023-10,109199
2023-11,151496
2023-12,210352
2024-01,208253
2024-02,218350
2024-03,209181
2024-04,148867
2024-05,112128
2024-06,113470
2024-07,187810
2024-08,164609
2024-09,122140
2024-10,135907
2024-11,184158
2024-12,248592
2025-01,252761
2025-02,240217
2025-03,229298
2025-04,174608
2025-05,132919
2025-06,138241
2025-07,200244
2025-08,198235
2025-09,158971
2025-10,165193
2025-11,212906
2025-12,258928
2026-01,290498.9346
2026-02,262792.6206
2026-03,290727.8757
2026-04,280699.324
2026-05,289707.7806
2026-06,279967.0953
2026-07,289403.7168
2026-08,289658.1255
2026-09,280291.7041
2026-10,289757.6968
2026-11,280666.2758
2026-12,290559.7158
2027-01,290646.5174
2027-02,263178.8692
2027-03,291053.1443
2027-04,281129.4031
2027-05,290081.5821
2027-06,280449.2542
2027-07,289904.454
2027-08,290041.4393
2027-09,280722.0401
2027-10,290333.0292
2027-11,280943.5749
2027-12,291021.151
2028-01,291078.6431
2028-02,272888.1501
2028-03,291494.2365
2028-04,281668.6155
2028-05,290275.4483
2028-06,280832.6263
2028-07,290356.5207
2028-08,290339.1413
2028-09,281153.2012
2028-10,290573.9076
2028-11,281376.3937
2028-12,291595.5351
2029-01,291510.4186
2029-02,263797.634
2029-03,291816.8038
2029-04,281838.6051
2029-05,290619.5443
2029-06,281169.5616
2029-07,290586.266
2029-08,290648.7846
2029-09,281564.046
2029-10,290735.8
2029-11,281667.3992
2029-12,291966.925
2030-01,291887.9519
2030-02,264089.2673
2030-03,292300.2148
2030-04,282042.5493
2030-05,290981.6456
2030-06,281631.1399
2030-07,290783.1972
2030-08,291043.7615
2030-09,281785.2994
2030-10,291129.351
2030-11,282046.089
2030-12,292403.9079
