date,usd_lkr_pred,usd_lkr_lower,usd_lkr_upper,year,month
2026-01-01,301.94824346501775,288.2122954726167,315.2041018039042,2026,1
2026-02-01,301.93952358060756,282.15770080090414,319.8435607799963,2026,2
2026-03-01,301.93254767307945,279.6334685829506,326.3936421078634,2026,3
2026-04-01,301.92696694705694,275.43675815313543,330.13104566238417,2026,4
2026-05-01,301.9225023662389,273.6927569716026,333.2277493581339,2026,5
2026-06-01,301.9189307015845,270.03915007714807,334.529575243824,2026,6
2026-07-01,301.91607336986095,266.87641048648516,336.8818538534073,2026,7
2026-08-01,301.9137875044822,262.76480411194575,340.3141208335397,2026,8
2026-09-01,301.9119588121791,264.8837991384698,339.8594959039996,2026,9
2026-10-01,301.9104958583367,261.9265105132451,344.8664655536487,2026,10
2026-11-01,301.9093254952627,255.44468863249537,348.1715506872516,2026,11
2026-12-01,301.90838920480354,255.93390202051663,349.48269182727944,2026,12
2027-01-01,301.9076401724362,252.23864485562777,350.3081233709845,2027,1
2027-02-01,301.90704094654234,252.90763026179266,354.654390679233,2027,2
2027-03-01,301.90656156582725,250.0,357.5486337055793,2027,3
2027-04-01,301.90617806125516,250.0,358.25344907201554,2027,4
2027-05-01,301.9058712575975,250.0,355.7131106142638,2027,5
2027-06-01,301.9056258146714,250.0,363.6624540495348,2027,6
2027-07-01,301.9054294603305,250.0,361.3404833781089,2027,7
2027-08-01,301.90527237685774,250.0,361.1408284085402,2027,8
2027-09-01,301.9051467100796,250.0,364.2075706805936,2027,9
2027-10-01,301.90504617665704,250.0,362.0534765688102,2027,10
2027-11-01,301.904965749919,250.0,368.1694418466973,2027,11
2027-12-01,301.9049014085286,250.0,368.68565853881245,2027,12
2028-01-01,301.9048499354162,250.0,371.4329691669786,2028,1
2028-02-01,301.90480875692634,250.0,370.0325096285419,2028,2
2028-03-01,301.90477581413444,250.0,375.24088620132767,2028,3
2028-04-01,301.9047494599009,250.0,372.0548504524216,2028,4
2028-05-01,301.90472837651413,250.0,373.8016038284287,2028,5
2028-06-01,301.90471150980466,250.0,374.59939470226163,2028,6
2028-07-01,301.9046980164371,250.0,376.38793165731636,2028,7
2028-08-01,301.9046872217431,250.0,383.0168105823519,2028,8
2028-09-01,301.9046785859878,250.0,373.061520867471,2028,9
2028-10-01,301.90467167738365,250.0,382.51664666774076,2028,10
2028-11-01,301.9046661505003,250.0,376.2597254568137,2028,11
2028-12-01,301.9046617289936,250.0,383.9233286991074,2028,12
2029-01-01,301.90465819178826,250.0,384.63450383572774,2029,1
2029-02-01,301.90465536202396,250.0,385.3846632368578,2029,2
2029-03-01,301.9046530982126,250.0,390.90885482424136,2029,3
2029-04-01,301.9046512871634,250.0,383.87453608073315,2029,4
2029-05-01,301.9046498383241,250.0,395.6123931352406,2029,5
2029-06-01,301.90464867925266,250.0,388.45345795090736,2029,6
2029-07-01,301.90464775199547,250.0,387.5572289147021,2029,7
2029-08-01,301.90464701018976,250.0,383.88816521587444,2029,8
2029-09-01,301.9046464167452,250.0,393.549469984712,2029,9
2029-10-01,301.90464594198954,250.0,392.123926562227,2029,10
2029-11-01,301.904645562185,250.0,398.57218456827087,2029,11
2029-12-01,301.90464525834136,250.0,387.9850438385248,2029,12
2030-01-01,301.90464501526645,250.0,397.07067570575754,2030,1
2030-02-01,301.90464482080654,250.0,392.05179973463004,2030,2
2030-03-01,301.9046446652386,250.0,404.0353832493955,2030,3
2030-04-01,301.90464454078426,250.0,403.2912219095047,2030,4
2030-05-01,301.9046444412208,250.0,399.3209655962247,2030,5
2030-06-01,301.90464436157,250.0,399.3123971276702,2030,6
2030-07-01,301.90464429784936,250.0,402.3443082935686,2030,7
2030-08-01,301.90464424687286,250.0,402.95964413915283,2030,8
2030-09-01,301.9046442060917,250.0,414.24924146458125,2030,9
2030-10-01,301.9046441734667,250.0,403.86941485667694,2030,10
2030-11-01,301.90464414736675,250.0,403.47355633849713,2030,11
2030-12-01,301.90464412648674,250.0,405.2591892677679,2030,12
