year,total_arrivals,tourist_nights_000,avg_length_of_stay_nights,revenue_usd_mn,revenue_lkr_mn,revenue_per_tourist_usd,revenue_per_tourist_day_usd,is_partial_year,revenue_usd_missing,nights_missing
2010,654476,6545.0,10.0,575.9,65018.0,879.94,88.0,0,0,0
2011,855975,8560.0,10.0,838.9,91926.0,980.05,98.0,0,0,0
2012,1005605,10056.0,10.0,1038.3,132427.0,1032.51,103.0,0,0,0
2013,1274593,10909.0,8.6,1715.5,221147.1,1345.92,156.5,0,0,0
2014,1527153,15119.0,9.9,2431.1,317502.2,1591.92,160.8,0,0,0
2015,1798380,18163.0,10.1,2980.6,405492.0,1657.38,164.1,0,0,0
2016,2050832,20918.0,10.2,3518.5,512293.6,1715.65,168.2,0,0,0
2017,2116407,23068.0,10.9,3924.9,598356.0,1854.51,170.1,0,0,0
2018,2333796,25205.0,10.8,4380.6,712027.3,1877.03,173.8,0,0,0
2019,1913702,19902.0,10.4,,644846.9,,181.0,0,1,0
2020,507704,4315.0,8.54,,126608.1,,158.1,0,1,0
2021,194495,,15.1,,,,,1,1,1
2022,719978,,9.34,1136.31,362426.1,1578.26,164.4,0,0,1
2023,1487303,12553.0,8.44,2067.96,677360.3,1390.41,164.4,0,0,0
2024,2053465,,8.42,3168.601,957297.7,1543.05,181.15,0,0,1
2025,1168044,,8.34,1712.6,509995.7,1466.21,,1,0,1
