scenario,year,total_arrivals,revenue_usd_mn,revenue_lkr_mn,tourist_nights_mn,avg_rpt_usd,avg_rpt_nominal,avg_los,avg_usd_lkr,rev_usd_hotels_mn,rev_usd_agencies_mn,rev_usd_shops_mn,rev_usd_banks_mn,rev_usd_gem_mn,revenue_usd_bn,revenue_lkr_bn,rev_yoy_pct
Baseline,2026,2520000.0000000005,3475.2393221507627,1049249.396808016,22.546161746507504,1379.0632230756994,1501.0635252508448,8.94688958194742,301.9215620815425,2023.6318572883893,371.50308353791655,429.19205628561923,509.8176085595169,140.7471925471059,3.475,1049.25,
Baseline,2027,2822400.0000000005,3788.243678853297,1143692.7413297775,25.585387491859606,1342.2065188680897,1465.3063758770295,9.065117450347081,301.9058066417252,2205.894294196275,404.9632492694174,467.84809433838217,555.7353476877786,153.42386899355853,3.788,1143.69,9.0066993288054
Baseline,2028,3161088.000000001,4100.826838491846,1238058.993884083,29.069221903904626,1297.2833525962722,1421.041108874454,9.195954653557452,301.9047239361452,2387.9114680538023,438.3783890347783,506.45211455374294,601.5912972067538,166.08348695891976,4.101,1238.06,8.251400546998799
Baseline,2029,3540418.560000002,4401.795831985741,1328922.6278514385,33.05904019627582,1243.298146077321,1367.0495656575883,9.337607866420122,301.9046495331843,2563.1657129652967,470.5519744392757,543.621785250239,645.7434485523081,178.2727311954225,4.402,1328.92,7.33922707169421
Baseline,2030,3965268.7872000015,4675.641462980589,1411597.8733089312,37.64462894048248,1179.1486816918161,1301.9461298249912,9.493588193062823,301.9046444202517,2722.626023893597,499.8260723926249,577.4417206781027,685.9166026192523,189.36347925071385,4.676,1411.6,6.221225187341561
Optimistic,2026,2587500.0,3534.7702589355663,1067223.1469876154,23.215338067425634,1366.0947860620547,1488.2483637772839,8.972111330406042,301.9215620815425,2058.2967217781807,377.86694068021205,436.54412697854247,518.5507969858476,143.15819548689043,3.535,1067.22,
Optimistic,2027,2975624.9999999995,3905.904190369117,1179215.1388044353,27.144754669322836,1312.6332082735955,1435.7796030838706,9.12237081934815,301.9058066417252,2274.408010051937,417.54115795045857,482.37916751058594,572.9961447271494,158.18911970994924,3.906,1179.22,10.499520598131063
Optimistic,2028,3421968.7499999995,4266.376989529887,1288039.3670201122,31.801841375539034,1246.7609441289865,1370.014767671457,9.293434189175175,301.9047239361452,2484.3113210032534,456.0757001807449,526.8975582069411,625.8775043640344,172.78826807596045,4.266,1288.04,9.228920669626174
Optimistic,2029,3935264.0624999986,4591.119006552431,1386080.1745527808,37.326546598107726,1166.660974622318,1288.6622789258943,9.485144072998974,301.9046495331843,2673.4085975154803,490.7906218004548,567.0031973092251,673.5171582612415,185.94031976537343,4.591,1386.08,7.611657802849869
Optimistic,2030,4525553.671874998,4843.590661386987,1462302.5163372867,43.91118361999465,1070.2758187331854,1189.046274558057,9.702941740121194,301.9046444202517,2820.422842125643,517.7798417022689,598.1834466812929,710.554750025471,196.165421786173,4.844,1462.3,5.499131137185298
Pessimistic,2026,2430000.0,3393.2654467082652,1024499.6858634014,21.6592232191263,1396.405533624801,1518.1504072155938,8.913260584002593,301.9215620815425,1975.898469618223,362.74007625311356,419.0682826684708,497.79204103210253,137.42725059168475,3.393,1024.5,
Pessimistic,2027,2624400.0,3623.41633726922,1093930.4080233425,23.59633116383679,1380.6646613584896,1503.461383304313,8.991133654868461,301.9058066417252,2109.9153331918674,387.3432064540796,447.4919176527487,531.5551766773946,146.74836165940343,3.623,1093.93,6.7825784388374055
Pessimistic,2028,2834352.0000000005,3858.134826041906,1164789.1286964319,25.71853574182685,1361.205251162137,1484.948248896486,9.07386793941855,301.9047239361452,2246.5919092042022,412.4346129038797,476.4796510161754,565.9883789803476,156.2544604546972,3.858,1164.79,6.477822776214026
Pessimistic,2029,3061100.1600000006,4094.7636130976966,1236228.173405335,28.035109980680986,1337.6771092317658,1462.2069591664,9.158507894325478,301.9046495331843,2384.380851906789,437.7302302401437,505.7033062175655,600.701822041432,165.83792633045672,4.095,1236.23,6.133243075347639
Pessimistic,2030,3305988.1728000008,4329.863624367473,1307205.937893514,30.571280431849136,1309.7033014187411,1434.7940576951712,9.247244343877021,301.9046444202517,2521.2795884691795,462.86242144488284,534.7381576093829,635.1909936947083,175.35947678688265,4.33,1307.21,5.741479447501541
